layer,head,query_token,ctx_0,ctx_1,ctx_2,ctx_3,START,QCUR,S1,A2,R,QNXT,S3,A0,S3,A1,S3,A2,S3,A3,SEL,A2,UPD
1,5,SELECT,0.03631366044282913,0.023125335574150085,0.06905630230903625,0.05984552577137947,0.01669328100979328,0.015385168604552746,0.4516575336456299,0.012303376570343971,0.042588382959365845,0.009070973843336105,0.03605698421597481,0.014286752790212631,0.04143530875444412,0.01773243397474289,0.04812021180987358,0.010845058597624302,0.049576401710510254,0.02093246579170227,0.024974897503852844,0.0,0.0
1,5,UPDATE,0.003717118641361594,0.002784505719318986,0.017183052375912666,0.07532994449138641,0.02420816570520401,0.03085588663816452,0.023912973701953888,0.3794707655906677,0.09518113732337952,0.05123942717909813,0.041644416749477386,0.023677712306380272,0.029638152569532394,0.028880445286631584,0.03384481742978096,0.032387927174568176,0.02193174511194229,0.01054714061319828,0.013287395238876343,0.00483751343563199,0.055439773947000504
1,6,SELECT,1.481380706991331e-07,3.017868039023597e-06,3.2524354764973396e-07,2.6783288831211394e-07,4.807970981346443e-07,5.483898917191254e-07,0.9999756813049316,1.1139712796648382e-06,5.428969984677678e-07,1.267335733246e-06,1.1497885452627088e-06,1.968748392755515e-06,1.0298189181412454e-06,1.350849743175786e-06,1.255323581972334e-06,3.396544570932747e-06,1.0965303545162897e-06,4.7206586373249593e-07,4.835014806303661e-06,0.0,0.0
1,6,UPDATE,0.2833508551120758,0.29223471879959106,0.04719846323132515,0.037526484578847885,0.009550083428621292,0.0082149812951684,0.0006098548765294254,0.0021233728621155024,0.02325049415230751,0.0034863236360251904,0.0016921079950407147,0.0031050262041389942,0.0019825410563498735,0.006846006028354168,0.0023360666818916798,0.0027327982243150473,0.0022598239593207836,0.006160603370517492,0.012608775869011879,0.21770769357681274,0.03502289578318596
1,7,SELECT,0.037169989198446274,0.03063950128853321,0.0242871455848217,0.012058300897479057,0.004804265219718218,0.0055270716547966,0.0019339380087330937,0.00294861919246614,0.07637051492929459,0.011377079412341118,0.18236076831817627,0.010780035518109798,0.17548903822898865,0.01390760950744152,0.18276731669902802,0.008999708108603954,0.16980557143688202,0.0143985440954566,0.03437504544854164,0.0,0.0
1,7,UPDATE,0.029125023633241653,0.007442707195878029,0.023650670424103737,0.049028430134058,0.05385035276412964,0.039217278361320496,0.0018073500832542777,0.47751808166503906,0.0549161471426487,0.07926974445581436,0.0011993147199973464,0.030690576881170273,0.0009749671444296837,0.02852628193795681,0.0008571544894948602,0.03275575116276741,0.0006972449482418597,0.019101524725556374,0.01219574362039566,0.02995726466178894,0.0272182896733284
2,0,SELECT,0.0016423551132902503,0.0014644126640632749,0.0009508956572972238,0.0013138807844370604,0.0012609990080818534,0.0011847408022731543,0.0015927787171676755,0.02043825201690197,0.09926183521747589,0.09364057332277298,0.0960991159081459,0.10037043690681458,0.08617398142814636,0.09871231019496918,0.0872330591082573,0.1064639464020729,0.09120301902294159,0.09001721441745758,0.020976122468709946,0.0,0.0
2,0,UPDATE,0.0007682734867557883,0.0006038336432538927,0.9383511543273926,0.023202475160360336,0.01302315667271614,0.015564738772809505,0.00446978909894824,6.601318455068395e-05,3.863536403514445e-05,3.1716981538920663e-06,0.0003159658226650208,2.0000024960609153e-06,0.0004232126520946622,0.00048540064017288387,0.0003782867861445993,2.3512541247328045e-06,0.0003501309547573328,0.00044360850006341934,0.00012170236004749313,0.0010744953760877252,0.00031156724435277283
2,1,SELECT,0.0033669902477413416,0.002187833422794938,0.0019540279172360897,0.0037530267145484686,0.005583798047155142,0.00607356708496809,0.008312386460602283,0.02324502170085907,0.056309495121240616,0.174856036901474,0.05702400207519531,0.19280202686786652,0.05599420890212059,0.05203307792544365,0.05752904340624809,0.1658303439617157,0.053523316979408264,0.05342157930135727,0.026200195774435997,0.0,0.0
2,1,UPDATE,0.03347640112042427,0.030610471963882446,0.2223617285490036,0.06766999512910843,0.05558806285262108,0.05918468162417412,0.036297887563705444,0.0019752022344619036,0.011932354420423508,0.008999462239444256,0.029153646901249886,0.008122599683701992,0.0398571714758873,0.05207379534840584,0.040880922228097916,0.005878623109310865,0.043950099498033524,0.049241796135902405,0.1029868796467781,0.07393193244934082,0.025826245546340942
2,2,SELECT,0.19681379199028015,0.18371571600437164,0.4689338803291321,0.08093227446079254,0.0327230803668499,0.01786995120346546,0.002633910859003663,0.0075435214675962925,0.00018515136616770178,0.00014866658602841198,0.00021280217333696783,0.0001473935117246583,0.0002458815579302609,0.0001251656940439716,0.00023289343516808003,0.00015997573791537434,0.00019651885668281466,0.00016940507339313626,0.007010030560195446,0.0,0.0
2,2,UPDATE,0.0020082273986190557,0.002364598447456956,0.0007038701442070305,0.0017342108767479658,0.002539450768381357,0.0031295130029320717,0.006782745011150837,0.006777185946702957,0.08321599662303925,0.11390361934900284,0.07715587317943573,0.11342271417379379,0.066142238676548,0.09607557952404022,0.07190562784671783,0.10922274738550186,0.07826564460992813,0.07859925180673599,0.02087172493338585,0.06306570023298264,0.0021134780254215
2,3,SELECT,0.0002244593488285318,0.00022205749701242894,0.00015247150440700352,0.0003397372493054718,0.0004776252608280629,0.00045385383418761194,0.0002817740314640105,0.015341624617576599,0.08175628632307053,0.12679576873779297,0.09950275719165802,0.14965155720710754,0.08210471272468567,0.057255662977695465,0.08596920967102051,0.15419770777225494,0.06780009716749191,0.05920059606432915,0.018272019922733307,0.0,0.0
2,3,UPDATE,0.06151297315955162,0.06057627871632576,0.057264816015958786,0.06343750655651093,0.0698757916688919,0.07488401979207993,0.08988192677497864,0.04492880031466484,0.03888752683997154,0.037434834986925125,0.03835124149918556,0.036684632301330566,0.038014739751815796,0.03819459304213524,0.037721600383520126,0.03685690462589264,0.0381990410387516,0.039512839168310165,0.03694551810622215,0.03616342321038246,0.024671046063303947
2,4,SELECT,0.0044707730412483215,0.0032009887509047985,0.0023903674446046352,0.004066459834575653,0.005504741333425045,0.00516544422134757,0.006650898605585098,0.009497295133769512,0.01882738061249256,0.2463390827178955,0.013786680996418,0.30472925305366516,0.013838620856404305,0.011869310401380062,0.013271652162075043,0.24638701975345612,0.012211608700454235,0.013228442519903183,0.06456400454044342,0.0,0.0
2,4,UPDATE,0.0011137102264910936,0.0010542395757511258,0.0009594970033504069,0.0006773326895199716,0.0006196786416694522,0.000617658777628094,0.0007187328883446753,0.00521885696798563,0.056996725499629974,0.005064216908067465,0.10771670937538147,0.004962792154401541,0.12403686344623566,0.1353568583726883,0.13283255696296692,0.004985014908015728,0.1468319594860077,0.1289256364107132,0.007510707713663578,0.12923692166805267,0.004563345108181238
2,5,SELECT,0.004802652634680271,0.011323202401399612,0.003305662889033556,0.0033718443010002375,0.003727831644937396,0.0029679054860025644,0.0026095970533788204,0.015637846663594246,0.07166386395692825,0.11238592118024826,0.07103979587554932,0.1343483328819275,0.07261920720338821,0.06365841627120972,0.07367772608995438,0.13269969820976257,0.06902701407670975,0.06313975155353546,0.08799368888139725,0.0,0.0
2,5,UPDATE,0.004598976578563452,0.005305984988808632,0.005146720912307501,0.005776567384600639,0.005611748434603214,0.0060659777373075485,0.006171241402626038,0.007019195705652237,0.0839957743883133,0.046491626650094986,0.09413181990385056,0.04321110248565674,0.09221558272838593,0.11677125841379166,0.09911451488733292,0.040930964052677155,0.09477322548627853,0.0992429181933403,0.02472785674035549,0.10909935086965561,0.009597649797797203
