construction,sweep,seed,max_cos,beta,beta_max,sigma,dim,rho,T,max_err,final_err,greedy_agree,select_agree,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff
q,beta_route,5,0.0,5.0,,,,,500,1.3200096136738635,1.3200096136738635,0.8863101244534141,0.8747474747474747,,,,,,
q,beta_route,6,0.0,5.0,,,,,100,0.8440113400588087,0.8167528302266784,0.9270833333333334,0.9787234042553192,,,,,,
q,beta_route,6,0.0,5.0,,,,,500,2.106461431502138,2.106461431502138,0.9657258064516128,0.9878542510121456,,,,,,
q,beta_route,7,0.0,5.0,,,,,100,0.4623845935139384,0.4623845935139384,0.9740932642487048,0.989247311827957,,,,,,
q,beta_route,7,0.0,5.0,,,,,500,1.6068093596987207,1.5796387322258951,0.9838872104733132,0.9594320486815416,,,,,,
q,beta_route,8,0.0,5.0,,,,,100,0.4171214753722863,0.4171214753722863,0.973404255319149,0.9565217391304348,,,,,,
q,beta_route,8,0.0,5.0,,,,,500,1.5049036656142405,1.3423468810738344,0.8252361673414305,0.8353658536585366,,,,,,
q,beta_route,9,0.0,5.0,,,,,100,0.3227308250786129,0.3227308250786129,0.9632224168126094,0.967391304347826,,,,,,
q,beta_route,9,0.0,5.0,,,,,500,1.1661079050183945,1.1661079050183945,0.90138000673174,0.9065040650406504,,,,,,
q,beta_route,10,0.0,5.0,,,,,100,0.8128913562936777,0.8128913562936777,0.9413854351687388,0.968421052631579,,,,,,
q,beta_route,10,0.0,5.0,,,,,500,2.184165977260803,2.184165977260803,0.9649004387445156,0.9636363636363636,,,,,,
q,beta_route,11,0.0,5.0,,,,,100,0.4061957674371531,0.4061957674371531,0.9746376811594204,0.9789473684210528,,,,,,
q,beta_route,11,0.0,5.0,,,,,500,0.9379005277720044,0.8483871616756751,0.8814363143631436,0.8101010101010101,,,,,,
q,beta_route,0,0.0,10.0,,,,,100,0.0078654006717462,0.0078654006717462,1.0,1.0,,,,,,
q,beta_route,0,0.0,10.0,,,,,500,0.0703483264140669,0.0703483264140669,1.0,1.0,,,,,,
q,beta_route,1,0.0,10.0,,,,,100,0.0085431026991491,0.0085431026991491,1.0,1.0,,,,,,
q,beta_route,1,0.0,10.0,,,,,500,0.1029669651519222,0.1029669651519222,1.0,1.0,,,,,,
q,beta_route,2,0.0,10.0,,,,,100,0.0083911103296729,0.0083911103296729,1.0,1.0,,,,,,
q,beta_route,2,0.0,10.0,,,,,500,0.0801464699846628,0.0801464699846628,1.0,1.0,,,,,,
q,beta_route,3,0.0,10.0,,,,,100,0.0042355795345393,0.0040696979433734,1.0,1.0,,,,,,
q,beta_route,3,0.0,10.0,,,,,500,0.043771805598443,0.0437608622715881,1.0,1.0,,,,,,
q,beta_route,16,0.0,5.0,,,,,100,0.615909974115874,0.615909974115874,0.9947275922671354,0.9893617021276596,,,,,,
q,beta_route,16,0.0,5.0,,,,,500,2.113212817651439,2.1018313232970574,0.972044459413944,0.9696356275303644,,,,,,
q,beta_route,17,0.0,5.0,,,,,100,0.601857642417728,0.601857642417728,0.9290780141843972,0.9574468085106383,,,,,,
q,beta_route,17,0.0,5.0,,,,,500,1.6423851111802594,1.58916538304314,0.958502024291498,0.9493927125506072,,,,,,
q,beta_route,18,0.0,5.0,,,,,100,0.5912916705301517,0.5912916705301517,0.9632224168126094,0.978494623655914,,,,,,
q,beta_route,18,0.0,5.0,,,,,500,1.996200829073196,1.976978815485005,0.9272972063278356,0.9107505070993914,,,,,,
q,beta_route,19,0.0,5.0,,,,,100,0.669232075491571,0.669232075491571,0.8914185639229422,0.925531914893617,,,,,,
q,beta_route,19,0.0,5.0,,,,,500,1.7300275431598484,1.6966083420364253,0.9131605520026927,0.9352226720647774,,,,,,
q,beta_route,8,0.0,10.0,,,,,100,0.0071001337325786,0.0071001337325786,1.0,1.0,,,,,,
q,beta_route,8,0.0,10.0,,,,,500,0.0623296688070112,0.0537946422738198,1.0,1.0,,,,,,
q,beta_route,9,0.0,10.0,,,,,100,0.0049165108486828,0.0049165108486828,1.0,1.0,,,,,,
q,beta_route,9,0.0,10.0,,,,,500,0.0466274106681112,0.0466274106681112,1.0,1.0,,,,,,
q,beta_route,10,0.0,10.0,,,,,100,0.012384722760838,0.012384722760838,1.0,1.0,,,,,,
q,beta_route,10,0.0,10.0,,,,,500,0.1177751559639292,0.1177751559639292,1.0,1.0,,,,,,
q,beta_route,11,0.0,10.0,,,,,100,0.006153705966031,0.006153705966031,1.0,1.0,,,,,,
q,beta_route,11,0.0,10.0,,,,,500,0.0626649298860151,0.0614313011208196,1.0,1.0,,,,,,
q,beta_route,16,0.0,10.0,,,,,100,0.0102200045357681,0.0102200045357681,1.0,1.0,,,,,,
q,beta_route,16,0.0,10.0,,,,,500,0.1250334393828516,0.1250334393828516,1.0,1.0,,,,,,
q,beta_route,17,0.0,10.0,,,,,100,0.0095632825098059,0.0095632825098059,1.0,1.0,,,,,,
q,beta_route,17,0.0,10.0,,,,,500,0.0983961016682428,0.0978359725369206,1.0,1.0,,,,,,
q,beta_route,18,0.0,10.0,,,,,100,0.0084988319412524,0.0084988319412524,1.0,1.0,,,,,,
q,beta_route,18,0.0,10.0,,,,,500,0.0722542468116937,0.0722542468116937,1.0,1.0,,,,,,
q,beta_route,19,0.0,10.0,,,,,100,0.0105843053245771,0.0105843053245771,1.0,1.0,,,,,,
q,beta_route,19,0.0,10.0,,,,,500,0.1026200742356131,0.1026200742356131,1.0,1.0,,,,,,
q,beta_route,4,0.0,10.0,,,,,100,0.0088521667948935,0.0088521667948935,1.0,1.0,,,,,,
q,beta_route,4,0.0,10.0,,,,,500,0.0773743505513366,0.0759141694927172,1.0,1.0,,,,,,
q,beta_route,5,0.0,10.0,,,,,100,0.0063838579455313,0.0063838579455313,1.0,1.0,,,,,,
q,beta_route,5,0.0,10.0,,,,,500,0.0712759603447552,0.0706507239871339,1.0,1.0,,,,,,
q,beta_route,6,0.0,10.0,,,,,100,0.0134763241284419,0.013443267114634,1.0,1.0,,,,,,
q,beta_route,6,0.0,10.0,,,,,500,0.121649033828505,0.1208653197692468,1.0,1.0,,,,,,
q,beta_route,7,0.0,10.0,,,,,100,0.0071246796738972,0.0071246796738972,1.0,1.0,,,,,,
q,beta_route,7,0.0,10.0,,,,,500,0.0957087708553712,0.0929353714308223,1.0,1.0,,,,,,
q,beta_route,12,0.0,10.0,,,,,100,0.0070713844111958,0.0070713844111958,1.0,1.0,,,,,,
q,beta_route,12,0.0,10.0,,,,,500,0.0738752697434734,0.0737860008026638,1.0,1.0,,,,,,
q,beta_route,13,0.0,10.0,,,,,100,0.014577195689156,0.014577195689156,1.0,1.0,,,,,,
q,beta_route,13,0.0,10.0,,,,,500,0.1395477797809832,0.1395477797809832,1.0,1.0,,,,,,
q,beta_route,14,0.0,10.0,,,,,100,0.0050040999581867,0.0050040999581867,1.0,1.0,,,,,,
q,beta_route,14,0.0,10.0,,,,,500,0.0600093324477328,0.0600093324477328,1.0,1.0,,,,,,
q,beta_route,15,0.0,10.0,,,,,100,0.0078067733739022,0.0078067733739022,1.0,1.0,,,,,,
q,beta_route,15,0.0,10.0,,,,,500,0.0570154974488268,0.0559127725613457,1.0,1.0,,,,,,
q,beta_route,0,0.0,20.0,,,,,100,3.3727435311270426e-07,3.3727435311270426e-07,1.0,1.0,,,,,,
q,beta_route,0,0.0,20.0,,,,,500,3.0747781498696725e-06,3.0747781498696725e-06,1.0,1.0,,,,,,
q,beta_route,1,0.0,20.0,,,,,100,3.6235099565296025e-07,3.6235099565296025e-07,1.0,1.0,,,,,,
q,beta_route,1,0.0,20.0,,,,,500,4.577769022517941e-06,4.577769022517941e-06,1.0,1.0,,,,,,
q,beta_route,2,0.0,20.0,,,,,100,3.551127061296455e-07,3.551127061296455e-07,1.0,1.0,,,,,,
q,beta_route,2,0.0,20.0,,,,,500,3.5136753169240365e-06,3.5136753169240365e-06,1.0,1.0,,,,,,
q,beta_route,3,0.0,20.0,,,,,100,5.02956390813214e-07,4.623786268864727e-07,1.0,1.0,,,,,,
q,beta_route,3,0.0,20.0,,,,,500,1.928700117059812e-06,1.928700117059812e-06,1.0,1.0,,,,,,
q,beta_route,4,0.0,20.0,,,,,100,3.6105444389811225e-07,3.6105444389811225e-07,1.0,1.0,,,,,,
q,beta_route,4,0.0,20.0,,,,,500,3.395824422991467e-06,3.32069328301543e-06,1.0,1.0,,,,,,
q,beta_route,5,0.0,20.0,,,,,100,1.4171022603426398e-05,6.264622629537087e-06,1.0,1.0,,,,,,
q,beta_route,5,0.0,20.0,,,,,500,1.4171022603426398e-05,4.5378678192875554e-06,1.0,1.0,,,,,,
q,beta_route,6,0.0,20.0,,,,,100,5.850607966984001e-07,5.850607966984001e-07,1.0,1.0,,,,,,
q,beta_route,6,0.0,20.0,,,,,500,5.518118264546956e-06,5.476982315677503e-06,1.0,1.0,,,,,,
q,beta_route,7,0.0,20.0,,,,,100,2.139382634019915e-06,1.2865401994299752e-06,1.0,1.0,,,,,,
q,beta_route,7,0.0,20.0,,,,,500,4.265772718614613e-06,4.115320845876624e-06,1.0,1.0,,,,,,
q,beta_route,8,0.0,20.0,,,,,100,3.0646608228934724e-07,3.0646608228934724e-07,1.0,1.0,,,,,,
q,beta_route,8,0.0,20.0,,,,,500,2.9927557683162576e-06,2.608476400656201e-06,1.0,1.0,,,,,,
q,beta_route,9,0.0,20.0,,,,,100,2.186210881841011e-05,1.04644736523829e-05,1.0,1.0,,,,,,
q,beta_route,9,0.0,20.0,,,,,500,2.186210881841011e-05,4.034296749111377e-06,1.0,1.0,,,,,,
q,beta_route,10,0.0,20.0,,,,,100,2.523137719856461e-05,2.3953631270723363e-05,1.0,1.0,,,,,,
q,beta_route,10,0.0,20.0,,,,,500,2.523137719856461e-05,1.0317897203293567e-05,1.0,1.0,,,,,,
q,beta_route,11,0.0,20.0,,,,,100,7.170929197872211e-06,6.457971779227911e-06,1.0,1.0,,,,,,
q,beta_route,11,0.0,20.0,,,,,500,7.170929197872211e-06,2.9481355445781787e-06,1.0,1.0,,,,,,
q,beta_route,12,0.0,20.0,,,,,100,3.022631549498556e-07,3.022631549498556e-07,1.0,1.0,,,,,,
q,beta_route,12,0.0,20.0,,,,,500,3.266282867286918e-06,3.255759112530398e-06,1.0,1.0,,,,,,
q,beta_route,13,0.0,20.0,,,,,100,6.211969247882365e-07,6.211969247882365e-07,1.0,1.0,,,,,,
q,beta_route,13,0.0,20.0,,,,,500,2.4462945994008223e-05,8.819560235462376e-06,1.0,1.0,,,,,,
