construction,sweep,seed,max_cos,beta,sigma,dim,rho,T,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff,beta_max,max_err,final_err,greedy_agree,select_agree
mwu,beta_route,2,0.0,2.0,,,,500,0.803634035301966,0.7467570088766072,1.4935140177532145,0.7552081715763396,0.6773547094188377,105.0,,,,,
mwu,beta_route,3,0.0,2.0,,,,100,0.5762314104351084,0.5448720154111188,1.0897440308222377,0.5448720154111188,0.7731958762886598,17.0,,,,,
mwu,beta_route,3,0.0,2.0,,,,500,0.7993650538610053,0.7466586262007993,1.4933172524015987,0.749862577621746,0.7183098591549296,87.0,,,,,
mwu,beta_route,4,0.0,2.0,,,,100,0.548157515492416,0.2434593052252292,0.8877611114409192,0.24843854518461,0.93,3.0,,,,,
mwu,beta_route,4,0.0,2.0,,,,500,0.6347710019843587,0.6197996193708964,1.239599238741793,0.6197996193708964,0.888,10.0,,,,,
mwu,beta_route,5,0.0,2.0,,,,100,0.3736094645754646,0.3285998748124218,0.671203072495821,0.3780874927352601,0.8484848484848485,2.0,,,,,
mwu,beta_route,5,0.0,2.0,,,,500,0.7395629891429216,0.6513810572828367,1.3027621145656731,0.6857678476178524,0.8216432865731463,12.0,,,,,
mwu,beta_route,6,0.0,2.0,,,,100,0.4551484003222968,0.3950642280976297,0.7901284561952595,0.4461406631176575,0.89,1.0,,,,,
mwu,beta_route,6,0.0,2.0,,,,500,0.7958933252149523,0.7420801315254495,1.484160263050899,0.7478885131689565,0.792,26.0,,,,,
mwu,beta_route,7,0.0,2.0,,,,100,0.5166427214662428,0.5033103571617827,1.0066207143235657,0.5203874345361577,0.8,8.0,,,,,
mwu,beta_route,7,0.0,2.0,,,,500,0.7698010322787322,0.7342452109115338,1.468490421823068,0.7403676991157084,0.794,25.0,,,,,
mwu,beta_route,8,0.0,2.0,,,,100,0.5823033547259702,0.5326645396490751,1.0653290792981502,0.5326645396490751,0.8673469387755102,12.0,,,,,
mwu,beta_route,8,0.0,2.0,,,,500,0.793058765929749,0.7450692350784343,1.4901384701568685,0.7489261961457542,0.8433734939759037,49.0,,,,,
mwu,beta_route,9,0.0,2.0,,,,100,0.4834326251642696,0.3764804877552251,0.7654039102191579,0.4151675593406416,0.92,-2.0,,,,,
mwu,beta_route,9,0.0,2.0,,,,500,0.7911369737111061,0.7339862281722325,1.4679724563444652,0.7386042566500771,0.898,1.0,,,,,
mwu,beta_route,10,0.0,2.0,,,,100,0.5816436146050531,0.4259299188960442,0.957476681839338,0.44218119929055,0.9081632653061223,0.0,,,,,
mwu,beta_route,10,0.0,2.0,,,,500,0.7778904656157073,0.7257223743667622,1.4514447487335242,0.7264070592277005,0.8855421686746988,16.0,,,,,
mwu,beta_route,11,0.0,2.0,,,,100,0.5301519194644178,0.3760602432953403,0.8701283406761012,0.3760602432953403,0.8181818181818182,8.0,,,,,
mwu,beta_route,11,0.0,2.0,,,,500,0.7513355440648408,0.7007707788402344,1.4015415576804686,0.7074107514910016,0.6993987975951904,60.0,,,,,
mwu,beta_route,12,0.0,2.0,,,,100,0.7057916929053235,0.666399946321425,1.33279989264285,0.666399946321425,0.74,16.0,,,,,
mwu,beta_route,12,0.0,2.0,,,,500,0.8031255356812769,0.7452231733021012,1.4904463466042026,0.7520097345844988,0.712,116.0,,,,,
mwu,beta_route,13,0.0,2.0,,,,100,0.3843640221893664,0.2363107590247977,0.5108868837819623,0.2571068597828936,0.95,-1.0,,,,,
mwu,beta_route,13,0.0,2.0,,,,500,0.5668431768938949,0.4463043118152023,0.9087239546240878,0.5068794605155764,0.866,-11.0,,,,,
mwu,beta_route,14,0.0,2.0,,,,100,0.3555059264071339,0.2513977072952852,0.562029947534944,0.2513977072952852,0.8979591836734694,9.0,,,,,
mwu,beta_route,14,0.0,2.0,,,,500,0.6030479343766303,0.2937838557754496,0.9927251222096538,0.4604870979518218,0.8714859437751004,-5.0,,,,,
mwu,beta_route,15,0.0,2.0,,,,100,0.5680153108378907,0.4761211930969146,0.9522423861938292,0.4912416755451935,0.8673469387755102,7.0,,,,,
mwu,beta_route,15,0.0,2.0,,,,500,0.7115598966188226,0.6661052263446341,1.3322104526892682,0.6724567455204947,0.7730923694779116,33.0,,,,,
mwu,beta_route,16,0.0,2.0,,,,100,0.4531219894049412,0.2321080483512226,0.7405894309849406,0.2473772235812401,0.9191919191919192,6.0,,,,,
mwu,beta_route,16,0.0,2.0,,,,500,0.7929038929474232,0.7323614563914342,1.4647229127828685,0.7405768422859287,0.8216432865731463,37.0,,,,,
mwu,beta_route,17,0.0,2.0,,,,100,0.5592196378921599,0.5007336282508588,1.0014672565017175,0.5133965077684832,0.8686868686868687,1.0,,,,,
mwu,beta_route,17,0.0,2.0,,,,500,0.8017031022471066,0.7488835055222129,1.497767011044426,0.7496004609906832,0.875751503006012,32.0,,,,,
mwu,beta_route,18,0.0,2.0,,,,100,0.5604682132464875,0.6347862806462578,1.2695725612925155,0.6347862806462578,0.74,14.0,,,,,
mwu,beta_route,18,0.0,2.0,,,,500,0.8030086857681595,0.7474270663474996,1.4948541326949991,0.7530477863803346,0.716,84.0,,,,,
mwu,beta_route,19,0.0,2.0,,,,100,0.7110729440831156,0.672209014783025,1.3444180295660495,0.672209014783025,0.8282828282828283,15.0,,,,,
mwu,beta_route,19,0.0,2.0,,,,500,0.8032122863176835,0.7505686234312685,1.501137246862537,0.7528868673394261,0.7434869739478958,106.0,,,,,
mwu,beta_route,0,0.0,5.0,,,,100,0.5668067310793028,0.5902595024607572,1.1805190049215144,0.5910648809473924,0.85,15.0,,,,,
mwu,beta_route,0,0.0,5.0,,,,500,0.7213827069705121,0.6700254175030144,1.3400508350060287,0.7189351341568269,0.81,77.0,,,,,
mwu,beta_route,1,0.0,5.0,,,,100,0.322227148580395,0.2245721147999994,0.6394668575671725,0.2402102087459222,0.9595959595959596,-2.0,,,,,
mwu,beta_route,1,0.0,5.0,,,,500,0.4790007984690175,0.4119449305995181,0.8285560615269263,0.4865305306109276,0.8997995991983968,-8.0,,,,,
mwu,beta_route,2,0.0,5.0,,,,100,0.5811916321816795,0.5766201899040775,1.1532403798081552,0.5766201899040775,0.898989898989899,6.0,,,,,
mwu,beta_route,2,0.0,5.0,,,,500,0.7420608285777093,0.6753393492832016,1.350678698566403,0.7526293663326327,0.8236472945891784,60.0,,,,,
mwu,beta_route,3,0.0,5.0,,,,100,0.4573198108638532,0.4708509738842965,0.941701947768593,0.4730230820845997,0.9175257731958762,5.0,,,,,
mwu,beta_route,3,0.0,5.0,,,,500,0.709672074133972,0.6868163987136493,1.3736327974272986,0.7053498598350147,0.8390342052313883,43.0,,,,,
mwu,beta_route,4,0.0,5.0,,,,100,0.3664803022862354,0.186132707098989,0.7011623357712644,0.1927789379153348,0.99,-1.0,,,,,
mwu,beta_route,4,0.0,5.0,,,,500,0.5300753316814205,0.544460334123534,1.0889206682470682,0.544460334123534,0.902,-3.0,,,,,
mwu,beta_route,5,0.0,5.0,,,,100,0.339882490074805,0.3184079412456662,0.6368158824913325,0.3407718537126816,0.9393939393939394,-1.0,,,,,
