construction,sweep,beta,beta_max,sigma,dim,rho,T,max_pred_err_mean,w_linf_mean,w_l1_mean,max_w_linf_mean,decision_agree_mean,regret_diff_mean,max_cos_mean,diverged_mean,max_pred_err_sem,w_linf_sem,w_l1_sem,max_w_linf_sem,decision_agree_sem,regret_diff_sem,n
mwu,beta_x_dim,100.0,,,32.0,,500,1.0324077332460768,0.9910076620236448,1.98201532404729,0.9950245936601968,0.5785676322334292,112.7,0.4685909083126097,0.9,0.013057973180796321,0.002843547750229625,0.00568709550045911,0.0015732899694105656,0.034728155907730714,16.44225941702788,20
mwu,beta_x_dim,100.0,,,64.0,,100,0.9257743140585399,0.6932297904612276,1.386459580922455,0.8376129258254306,0.7337306613366996,14.55,0.33225016350453335,0.0,0.041324177572817485,0.06841901288751992,0.1368380257750398,0.02624279492461732,0.04054392311774128,3.1701527441201676,20
mwu,beta_x_dim,100.0,,,64.0,,500,0.9937720334743145,0.7212982868939677,1.4425965737879354,0.89666771986566,0.6874669771289688,81.15,0.33225016350453335,0.15,0.044033788993640986,0.0914472968022227,0.18289459360444535,0.0293752370408944,0.047548074555496776,18.238374090737484,20
mwu,beta_x_dim,100.0,,,128.0,,100,0.9266102760971542,0.6735911838412287,1.3471823676824575,0.8571192448087765,0.6989646964065226,16.8,0.23721008257877202,0.0,0.04270519760460074,0.07745879913045711,0.1549175982609142,0.028672357081563057,0.040772518080261444,3.261901286060018,20
mwu,beta_x_dim,100.0,,,128.0,,500,0.9744083610375418,0.61458139429282,1.2291627885856402,0.8810519592791384,0.6655577319370101,96.6,0.23721008257877202,0.0,0.04571335417620709,0.10408987189979914,0.20817974379959828,0.031814217840563756,0.05038593504727364,17.74533296687507,20
mwu,beta_x_dim,100.0,,,256.0,,100,0.8929576543943988,0.7356396325780199,1.4712792651560398,0.8464629072557702,0.6833206565975344,18.0,0.16269360089398407,0.0,0.03654478547743135,0.06438602505031252,0.12877205010062506,0.02808139868179376,0.03929068186694447,3.246860832120449,20
mwu,beta_x_dim,100.0,,,256.0,,500,0.9648452622588154,0.7390561405401823,1.4781122810803649,0.9065661859245131,0.6372869399736987,99.15,0.16269360089398407,0.0,0.039443478467657965,0.09486636901928647,0.18973273803857293,0.031539127556641955,0.04535241908385225,17.9493842439467,20
mwu,beta_x_dim,100.0,,,512.0,,100,0.8464383491833125,0.6958914817623724,1.3917829635247447,0.8565007089175296,0.7045680112719876,17.0,0.12010095499453581,0.0,0.04033758456135282,0.07568592748279418,0.15137185496558836,0.030809025786710905,0.04090604164326795,3.676382661487268,20
mwu,beta_x_dim,100.0,,,512.0,,500,0.9047292018523005,0.7033102082033968,1.4066204164067937,0.907872853784135,0.6688873650673386,94.3,0.12010095499453581,0.0,0.04422709251988079,0.10256281699608731,0.20512563399217468,0.033953759321068644,0.04915784073574493,18.128067798451745,20
mwu,beta_x_dim,100.0,,,1024.0,,100,0.844835051753235,0.7816044388763329,1.5632088777526658,0.8482343392506871,0.7088895051928925,14.75,0.08310998156126656,0.0,0.03506723006117089,0.056230646385185115,0.1124612927703702,0.030099642071563168,0.03300026343723711,2.8348164333032777,20
mwu,beta_x_dim,100.0,,,1024.0,,500,0.9296398523077871,0.7924791570037597,1.5849583140075196,0.9171680803381534,0.6425619888618073,89.2,0.08310998156126656,0.0,0.03511372461630468,0.08736327318907286,0.17472654637814575,0.03279595380558284,0.042113958181763896,16.880009977547562,20
mwu,beta_x_dim,100.0,,,2048.0,,100,0.7644190776139901,0.6114469952129393,1.2228939904258787,0.7869875434812721,0.8011550238339634,8.45,0.05580562464231035,0.0,0.04174895494791079,0.07048095837566284,0.14096191675132566,0.035535138781024336,0.03398135959283417,2.3186600032187377,20
mwu,beta_x_dim,100.0,,,2048.0,,500,0.8159378035022785,0.5526148104141625,1.1052296208283252,0.8269619830501085,0.7714413868843761,53.3,0.05580562464231035,0.0,0.04672679107742888,0.10593476784635472,0.2118695356927095,0.04004049067916341,0.04808547306165966,14.09462383508803,20
mwu,beta_x_dim,100.0,,,4096.0,,100,0.7871065210377628,0.6804391867184272,1.3608783734368544,0.8094722693068548,0.7660624241574168,10.85,0.04043502467319143,0.0,0.03783129853762425,0.06681175469341522,0.1336235093868304,0.034331121979376815,0.031973744103293476,2.507121435977292,20
mwu,beta_x_dim,100.0,,,4096.0,,500,0.8527848477745827,0.6640997895952981,1.3281995791905963,0.8641310185079085,0.7244506648149596,65.5,0.04043502467319143,0.0,0.04280617614998472,0.09664736391195361,0.19329472782390722,0.03749013117976857,0.04547051913742502,16.61696976619162,20
mwu,beta_x_dim,100.0,,,8192.0,,100,0.6502193548964433,0.5171946323146366,1.0343892646292734,0.6798050931239424,0.8507865388579674,5.9,0.027572015708936963,0.0,0.04710242531991575,0.07013971814441869,0.14027943628883738,0.041956302252199935,0.03018583166811387,1.938393257585424,20
mwu,beta_x_dim,100.0,,,8192.0,,500,0.72386712845385,0.463582614983991,0.927165229967982,0.7471285096769065,0.8151154751269608,41.4,0.027572015708936963,0.0,0.05690553704128826,0.10211943976191674,0.2042388795238335,0.050134319071855685,0.043618369963073424,14.254159134497515,20
mwu,beta_x_dim,100.0,,,16384.0,,100,0.7366267746429771,0.6565756326729818,1.3131512653459638,0.7514197387943423,0.8344936063772588,8.15,0.02099103031817787,0.0,0.05435676566048969,0.07866023102288315,0.1573204620457663,0.05187036496203094,0.02599336707198027,2.0082396061699095,20
mwu,beta_x_dim,100.0,,,16384.0,,500,0.8383122386671087,0.711365937730595,1.4227318754611902,0.8417195698694337,0.6989095290934993,78.55,0.02099103031817787,0.0,0.05617140165982111,0.0961147647660806,0.1922295295321612,0.052984127754472636,0.04337371851748852,16.05934307498286,20
