layer,head,query_token,ctx_0,ctx_1,ctx_2,ctx_3,S1,A2,R,S3,S3,A0,EVAL,S3,A1,EVAL,S3,A2,EVAL,S3,A3,EVAL,SEL,QCUR,QNXT,UPD
3,1,UPDATE,0.000644062994979322,0.0010394491255283356,0.0011606082553043962,0.0008268276578746736,0.0007554221083410084,0.016450395807623863,0.03845321759581566,0.02326776832342148,0.022253597155213356,0.02035624533891678,0.022298196330666542,0.021806122735142708,0.023288153111934662,0.020885171368718147,0.019996345043182373,0.020111050456762314,0.02179715223610401,0.019785335287451744,0.018094219267368317,0.02010454423725605,0.18120287358760834,0.22925753891468048,0.25428465008735657,0.0018810364417731762
3,2,SELECT,0.017242668196558952,0.03288458660244942,0.028995273634791374,0.03262866288423538,0.031157564371824265,0.0026478462386876345,0.0009577442542649806,0.0007718932465650141,0.000762883631978184,0.0008849166333675385,0.000881238142028451,0.0008409642614424229,0.0010732144583016634,0.0009914665715768933,0.0009555564029142261,0.0011399599025025964,0.0009763090638443828,0.0009738666121847928,0.00106042658444494,0.0009683751268312335,0.8412045836448669,0.0,0.0,0.0
3,2,UPDATE,0.0005900489632040262,0.00031294560176320374,0.00032395595917478204,0.00030037632677704096,0.00033349916338920593,0.023171789944171906,0.04685209318995476,0.08183352649211884,0.07591459155082703,0.07822894304990768,0.07866603881120682,0.06768682599067688,0.07810159027576447,0.07483768463134766,0.05730884149670601,0.0638279989361763,0.07511661946773529,0.05574170872569084,0.059676386415958405,0.06772200763225555,0.0001950176083482802,0.002597982296720147,0.0023186898324638605,0.008340785279870033
3,3,SELECT,0.17232638597488403,0.226475790143013,0.1873338222503662,0.22322960197925568,0.1884535700082779,0.0005189753137528896,4.3277748773107305e-05,4.2029001633636653e-05,3.42911334882956e-05,4.142130637774244e-05,4.049567723996006e-05,3.585597369237803e-05,4.048054324812256e-05,4.41732227045577e-05,4.008883115602657e-05,4.4381780753610656e-05,3.966945951106027e-05,4.143493788433261e-05,4.257003456586972e-05,3.8547092117369175e-05,0.0010931332362815738,0.0,0.0,0.0
3,3,UPDATE,0.00041897979099303484,0.0003382729191798717,0.0003505633503664285,0.00033283003722317517,0.00035623033181764185,0.024508027359843254,0.05764060094952583,0.06650999933481216,0.07050994038581848,0.06927160918712616,0.07012302428483963,0.06513162702322006,0.07235506922006607,0.06941656023263931,0.05757372826337814,0.06373569369316101,0.0737009048461914,0.05610029026865959,0.060612861067056656,0.06665951013565063,0.00610717199742794,0.017075195908546448,0.016476528719067574,0.014694771729409695
3,4,SELECT,0.05580906569957733,0.21099862456321716,0.20404833555221558,0.2561216950416565,0.2605295777320862,0.00345174060203135,0.00042465634760446846,0.0005035845097154379,0.0005174966645427048,0.000559982203412801,0.000584165973123163,0.0005196891725063324,0.0005296750459820032,0.0005749099655076861,0.0005947841564193368,0.0005682741175405681,0.0005831418675370514,0.0005913062486797571,0.0006403066799975932,0.0006039994186721742,0.0012450239155441523,0.0,0.0,0.0
3,4,UPDATE,0.00044668366899713874,0.00015497984713874757,0.0001140362219302915,0.00010276497050654143,9.712210157886147e-05,0.0051613315008580685,0.041621796786785126,0.032195404171943665,0.02845507115125656,0.03717975318431854,0.03842731937766075,0.031281135976314545,0.046624742448329926,0.04015456140041351,0.03002494014799595,0.04143480211496353,0.04118131101131439,0.03093750961124897,0.03445320203900337,0.040716249495744705,0.05087517946958542,0.22215670347213745,0.2050861418247223,0.0011172541417181492
3,5,SELECT,0.1268613040447235,0.20338280498981476,0.19941233098506927,0.26261046528816223,0.20543727278709412,0.0008956467499956489,9.695228072814643e-05,6.572474376298487e-05,5.636896094074473e-05,7.839560566935688e-05,6.821159331593663e-05,5.908137609367259e-05,6.533222767757252e-05,6.596958701265976e-05,6.805505836382508e-05,7.188472227426246e-05,6.518951704492792e-05,7.024595834081993e-05,7.724890019744635e-05,6.821425631642342e-05,0.0004233049985487014,0.0,0.0,0.0
3,5,UPDATE,0.0001652780338190496,8.066619921009988e-05,8.735910523682833e-05,6.871617370052263e-05,7.212895434349775e-05,0.005072656087577343,0.03838053718209267,0.05255383998155594,0.05652949959039688,0.0627211183309555,0.06532609462738037,0.06042410805821419,0.0776592418551445,0.07153390347957611,0.05586918070912361,0.07411547750234604,0.07505908608436584,0.057217180728912354,0.06752773374319077,0.07710965722799301,0.017701229080557823,0.03905181959271431,0.03907460719347,0.0065988777205348015
3,6,SELECT,0.14847204089164734,0.06580852717161179,0.046075377613306046,0.0607149600982666,0.06045880168676376,0.03599889948964119,0.02710016630589962,0.036293674260377884,0.03796400874853134,0.039117831736803055,0.04054023325443268,0.03844045102596283,0.041898105293512344,0.04378994554281235,0.040044836699962616,0.044234421104192734,0.045426830649375916,0.041020289063453674,0.04366842284798622,0.04597392678260803,0.016958270221948624,0.0,0.0,0.0
3,6,UPDATE,0.00010880421177716926,0.00018365414871368557,0.0003012523811776191,0.00023549319303128868,0.0002082560968119651,0.0025137763004750013,0.008562748320400715,0.006957485806196928,0.005507904104888439,0.0066808070987463,0.007019757758826017,0.005824919790029526,0.008536226116120815,0.007396609056740999,0.00542735168710351,0.006915707141160965,0.007279824465513229,0.005472021643072367,0.005373703315854073,0.006630002520978451,0.11741533130407333,0.37857961654663086,0.4067411720752716,0.00012758396042045206
3,7,SELECT,0.19236351549625397,0.19711120426654816,0.19662418961524963,0.21857650578022003,0.19216202199459076,0.0007798451697453856,5.3644453146262094e-05,5.457124279928394e-05,5.358651833375916e-05,6.167565152281895e-05,5.714284998248331e-05,5.54928628844209e-05,5.696812513633631e-05,6.093210686231032e-05,6.660382496193051e-05,6.602786743314937e-05,6.851108628325164e-05,7.141283276723698e-05,9.714590123621747e-05,7.699052366660908e-05,0.0014819790376350284,0.0,0.0,0.0
3,7,UPDATE,0.00010140598897123709,7.166498835431412e-05,6.573843711521477e-05,5.664249329129234e-05,5.014224007027224e-05,0.00518839294090867,0.04692273959517479,0.047427210956811905,0.04622888192534447,0.045527178794145584,0.050054848194122314,0.04796641319990158,0.054270919412374496,0.0479586124420166,0.04521643742918968,0.047603536397218704,0.046696506440639496,0.043268900364637375,0.03340177983045578,0.04339347779750824,0.002099371515214443,0.1774459183216095,0.16785123944282532,0.0011321371421217918
4,0,SELECT,0.1381034553050995,0.22492137551307678,0.19001346826553345,0.22636863589286804,0.18743649125099182,0.0019980191718786955,0.0010084420209750533,0.0014178133569657803,0.001468778122216463,0.0015692519955337048,0.0017023212276399136,0.0017162881558761,0.0018173501593992114,0.001853063702583313,0.0019950096029788256,0.002127384301275015,0.0020489050075411797,0.002146927872672677,0.002476551104336977,0.002283864887431264,0.005526645574718714,0.0,0.0,0.0
4,0,UPDATE,0.0001992204342968762,0.00013814469275530428,0.00012887324555777013,0.00012985589273739606,0.0001631671329960227,0.0071051823906600475,0.06804162263870239,0.08105891942977905,0.0737537071108818,0.07210643589496613,0.07061252743005753,0.06643221527338028,0.06491109728813171,0.061192888766527176,0.06234683841466904,0.05792661011219025,0.05569951608777046,0.05880986899137497,0.05253196507692337,0.05542266368865967,0.002883866662159562,0.04153621569275856,0.0380086824297905,0.008859885856509209
4,1,SELECT,0.0001718904240988195,0.00041094119660556316,0.0014680450549349189,0.0013089666608721018,0.001213675714097917,9.009785571834072e-05,9.214197052642703e-05,0.00014016502245794982,0.0001407329400535673,0.0001602775591891259,0.00015573526616208255,0.00018761483079288155,0.00017804568051360548,0.00015732372412458062,0.00024402914277743548,0.0002339881903026253,0.00018831860506907105,0.00027100142324343324,0.00032392831053584814,0.0002588213246781379,0.9926041960716248,0.0,0.0,0.0
4,1,UPDATE,0.0013681427808478475,0.0006072063697502017,0.0005729555268771946,0.0005379453068599105,0.0005717693711631,0.03478320688009262,0.05882357060909271,0.07124979794025421,0.07075896859169006,0.07236222922801971,0.07013281434774399,0.0651697888970375,0.06818836182355881,0.06660191714763641,0.05789510905742645,0.06291592121124268,0.0634927898645401,0.05538434907793999,0.055789344012737274,0.06179675832390785,0.003832818241789937,0.02155827172100544,0.021093277260661125,0.014512693509459496
4,2,SELECT,0.19310395419597626,0.14291948080062866,0.23604126274585724,0.23188289999961853,0.18464648723602295,0.0014531072229146957,0.0005067413439974189,0.0008024859125725925,0.0007702581933699548,0.0008234438137151301,0.0007056913455016911,0.0007274635718204081,0.0005747777759097517,0.0006342980777844787,0.000763786374591291,0.0006851637735962868,0.0006382690626196563,0.0007670430350117385,0.0008701498154550791,0.0006750220200046897,8.20096283860039e-06,0.0,0.0,0.0
4,2,UPDATE,0.027536015957593918,0.04868873953819275,0.051206741482019424,0.052457839250564575,0.05256448686122894,0.05552143231034279,0.03985879197716713,0.035735130310058594,0.034746259450912476,0.03372110426425934,0.03483002632856369,0.03434160724282265,0.03450671583414078,0.03510570153594017,0.03447793796658516,0.03404068201780319,0.034472011029720306,0.03472070395946503,0.03314131498336792,0.034024592489004135,0.048564594238996506,0.07206949591636658,0.07725875824689865,0.026409324258565903
4,3,SELECT,0.008737822063267231,0.003980105742812157,0.006745552644133568,0.0072849043644964695,0.005371511448174715,0.0001318524737143889,7.374988490482792e-05,0.00016556971240788698,0.00017798611952457577,0.00022184982663020492,0.00022204221750143915,0.0002485695295035839,0.00028216998907737434,0.0002580022264737636,0.00031440085149370134,0.0003666755510494113,0.00028745908639393747,0.0003545839572325349,0.0004649801121558994,0.000398166012018919,0.9639121294021606,0.0,0.0,0.0
4,3,UPDATE,0.006589753553271294,0.0054232459515333176,0.004307068418711424,0.004117890726774931,0.004481927026063204,0.04658110812306404,0.055367060005664825,0.07841402292251587,0.07583781331777573,0.07067500054836273,0.06960194557905197,0.06521598994731903,0.06499888002872467,0.06529974937438965,0.05681492015719414,0.059677205979824066,0.060897890478372574,0.05434298515319824,0.05334281548857689,0.05698772519826889,0.0032961429096758366,0.007718583103269339,0.007463342044502497,0.02254694700241089
4,4,SELECT,0.04027145355939865,0.10264916718006134,0.13373807072639465,0.1306404173374176,0.13371451199054718,0.024701355025172234,0.023656068369746208,0.027222871780395508,0.026052167639136314,0.02482382394373417,0.025746384635567665,0.026806598529219627,0.02324535697698593,0.023127876222133636,0.028891438618302345,0.02422977238893509,0.02373342774808407,0.02968689799308777,0.028605271130800247,0.026805294677615166,0.07165177911520004,0.0,0.0,0.0
4,4,UPDATE,0.000985689228400588,0.0005834546755068004,0.0005624014302156866,0.0005534784286282957,0.0006836137035861611,0.010397866368293762,0.04884881526231766,0.049983564764261246,0.0492253378033638,0.04252045229077339,0.03930586203932762,0.046252354979515076,0.03409105911850929,0.0331941656768322,0.0438607819378376,0.03253129869699478,0.030282506719231606,0.04120893403887749,0.03255579620599747,0.03256576880812645,0.18404927849769592,0.10843571275472641,0.12134391814470291,0.015977943316102028
