construction,sweep,beta,beta_max,sigma,dim,rho,T,max_err_mean,final_err_mean,greedy_agree_mean,select_agree_mean,max_cos_mean,diverged_mean,max_err_sem,final_err_sem,greedy_agree_sem,select_agree_sem,n
q,beta_x_dim,10.0,,,1024.0,,100,0.6106284471804068,0.601813076192615,0.9431130570925867,0.898228704164697,0.09056164138314861,0.0,0.12450115341595605,0.12380373293617349,0.010619944861691712,0.020167603712182736,20
q,beta_x_dim,10.0,,,1024.0,,500,7.571784720099018,7.544024732472607,0.8980373924965693,0.8701020258445,0.09056164138314861,0.4,3.822926136461838,3.8250469752049727,0.022262058553397128,0.023044792412612206,20
q,beta_x_dim,10.0,,,2048.0,,100,0.37454163855968536,0.36521637084958897,0.9666449276787678,0.9406148557137823,0.06342080822861117,0.0,0.07667804431640762,0.07516057134472859,0.007868878838256885,0.010795382839787013,20
q,beta_x_dim,10.0,,,2048.0,,500,5.277129024883554,5.2748609293422835,0.9349801670181177,0.9247082770180398,0.06342080822861117,0.35,1.7375733675780183,1.7378007471761683,0.0176377096132693,0.016453404152315398,20
q,beta_x_dim,10.0,,,4096.0,,100,0.23277702901768724,0.22587030922989798,0.9751387419575626,0.9625796308308295,0.0438351669874574,0.0,0.03176897826306033,0.03079498895566504,0.006192408473618858,0.008261206709901743,20
q,beta_x_dim,10.0,,,4096.0,,500,2.3487660706931663,2.2550344629779384,0.9865735582290076,0.9741737759454863,0.0438351669874574,0.1,0.32081881758940006,0.3007845084096982,0.004254850662352437,0.0075129160196973745,20
q,beta_x_dim,10.0,,,8192.0,,100,0.15362156477104244,0.15039017884616196,0.9860545887580241,0.9753859900414998,0.031054482512492616,0.0,0.013045748315750474,0.01337109233233069,0.0035458082840523967,0.005570838549777507,20
q,beta_x_dim,10.0,,,8192.0,,500,2.476672037773015,2.465625050741994,0.9929299279839059,0.9898737648335093,0.031054482512492616,0.05,0.6345348330908401,0.6362329560695928,0.003651929455272356,0.00313749137655275,20
q,beta_x_dim,10.0,,,16384.0,,100,0.1089829602716196,0.10556081664996131,0.9846696809493668,0.9883137024396808,0.021380935793739203,0.0,0.010532955617482312,0.010561492557416736,0.005798191527569459,0.0030576619722186105,20
q,beta_x_dim,10.0,,,16384.0,,500,1.3986146089379852,1.3851103812991845,0.9961932828796659,0.9969649874291298,0.021380935793739203,0.0,0.2716641481667192,0.2733816466201093,0.0014492959464824208,0.0009098774542448333,20
q,beta_x_dim,20.0,,,32.0,,100,,,0.6324294437063235,0.6150212943956083,0.45181358479635786,1.0,,,0.03214795562628067,0.03809034625364989,20
q,beta_x_dim,20.0,,,32.0,,500,,,0.6866489299130673,0.6768399125834218,0.45181358479635786,1.0,,,0.03949725170411832,0.04085476923771195,20
q,beta_x_dim,20.0,,,64.0,,100,2.297190645481509,1.9227200337991097,0.6407043930188562,0.6330606328793845,0.3383318772022451,0.65,0.2500951834776573,0.1932432698050294,0.02829354852268288,0.03598135767518197,20
q,beta_x_dim,20.0,,,64.0,,500,3.9582312852215895,3.0137619643859925,0.6588902153557594,0.6388816826030761,0.3383318772022451,0.85,0.3480035664592324,0.0921225560519585,0.037575703498570576,0.04128193141358819,20
q,beta_x_dim,20.0,,,128.0,,100,6.185461837200726,4.700282292150276,0.7404190558316583,0.6771066753676588,0.23665230870784323,0.25,3.227235071177272,2.428487915228102,0.0210818961963789,0.02953604734277457,20
q,beta_x_dim,20.0,,,128.0,,500,1328.2403115667137,1324.0144309726102,0.6914653012636561,0.6279891621515042,0.23665230870784323,0.45,977.128987684893,977.4399117070509,0.026298162882263144,0.024144491776146648,20
q,beta_x_dim,20.0,,,256.0,,100,2.219013721327099e+16,2.219013721327099e+16,0.8486707671365107,0.7900037641476195,0.16971422476257944,0.05,2.1628270390084468e+16,2.1628270390084468e+16,0.01837337940754609,0.024304885543086133,20
q,beta_x_dim,20.0,,,256.0,,500,3.0273258584670253,2.9244647927178216,0.7805411166638494,0.7289021063762371,0.16971422476257944,0.3,0.2636776944553379,0.26658964657350204,0.02879374745701735,0.025640759585115355,20
q,beta_x_dim,20.0,,,512.0,,100,0.904557286476052,0.8602245610537487,0.9403543522067895,0.859940636146183,0.11945966216356811,0.0,0.20613673034134625,0.19457100537220123,0.01140124498939997,0.017220489004577448,20
q,beta_x_dim,20.0,,,512.0,,500,3.4789285979234834,3.3250172057303806,0.8743494714115492,0.8104970440620178,0.11945966216356811,0.4,0.6783197815244859,0.6777606764522606,0.024141012420921763,0.029231877002968778,20
q,beta_x_dim,20.0,,,1024.0,,100,0.6116322822579678,0.6029563396930937,0.9429366902495534,0.8971647539666211,0.09056164138314861,0.0,0.12468522376882932,0.1239694465757524,0.010587051326598743,0.02008674422828193,20
q,beta_x_dim,20.0,,,1024.0,,500,6.981809292084393,6.953886839749451,0.8978524460241418,0.870304250520409,0.09056164138314861,0.4,3.3680832961034617,3.3702373179679768,0.02227443480790525,0.023076192192986934,20
q,beta_x_dim,20.0,,,2048.0,,100,0.3751013030528354,0.36578810541172035,0.9668200853513487,0.9406148557137823,0.06342080822861117,0.0,0.07684060620790836,0.07532170883470117,0.007891628048874444,0.010795382839787013,20
q,beta_x_dim,20.0,,,2048.0,,500,5.597286387208792,5.595014233494634,0.9348959010213216,0.924506874395345,0.06342080822861117,0.35,1.975006976649437,1.9752273312215332,0.017684540457679587,0.016402752408974815,20
q,beta_x_dim,20.0,,,4096.0,,100,0.2331077047063146,0.2262035653577925,0.9751387419575626,0.9625796308308295,0.0438351669874574,0.0,0.031814227355561255,0.030837275094191686,0.006192408473618858,0.008261206709901743,20
q,beta_x_dim,20.0,,,4096.0,,500,2.3596773220968776,2.2653571217103163,0.9865734905749317,0.9745784297711927,0.0438351669874574,0.1,0.3241956490746604,0.30399586096499265,0.0043342548607332755,0.007472235200403761,20
q,beta_x_dim,20.0,,,8192.0,,100,0.15387042728570272,0.15064861759022713,0.9860545887580241,0.976472946563239,0.031054482512492616,0.0,0.013105708489266298,0.013429574703457126,0.0035458082840523967,0.005367837382894996,20
q,beta_x_dim,20.0,,,8192.0,,500,2.498103020936699,2.486894666192845,0.9928962692831318,0.9900770168660296,0.031054482512492616,0.05,0.6440839714115919,0.6458000540556873,0.003651022321985776,0.0030598296357749032,20
q,beta_x_dim,20.0,,,16384.0,,100,0.10921684237085343,0.10577333161398006,0.9846696809493668,0.9883137024396808,0.021380935793739203,0.0,0.010559526850100198,0.010592231995815242,0.005798191527569459,0.003057661972218609,20
q,beta_x_dim,20.0,,,16384.0,,500,1.40666063529153,1.3931537089188237,0.9961932771864171,0.9969649874291298,0.021380935793739203,0.0,0.2749780132232147,0.276684043360117,0.0014476440399876927,0.0009098774542448354,20
q,beta_x_dim,50.0,,,32.0,,100,,,0.6358874887559858,0.6203577222875756,0.45181358479635786,1.0,,,0.031772498146344245,0.03755014854505347,20
q,beta_x_dim,50.0,,,32.0,,500,,,0.6873204698184765,0.6778526750721104,0.45181358479635786,1.0,,,0.039335150804707814,0.04080197107552665,20
q,beta_x_dim,50.0,,,64.0,,100,2.3043354550661292,1.9321752203185496,0.6403122711186062,0.6330659872354036,0.3383318772022451,0.65,0.24722622231394117,0.1747526821156413,0.0278913100164916,0.03557417120590097,20
q,beta_x_dim,50.0,,,64.0,,500,3.979798033178472,3.0052885885075664,0.6597144823932929,0.637970341651701,0.3383318772022451,0.85,0.3474397233343244,0.08958373908862906,0.03740100431724154,0.04137099530226892,20
q,beta_x_dim,50.0,,,128.0,,100,6.371015621850827,4.811941869971487,0.7455000005404988,0.679806166029798,0.23665230870784323,0.25,3.3833456174132763,2.520886703680822,0.02088144355164714,0.02901030344074166,20
q,beta_x_dim,50.0,,,128.0,,500,884.1404009095223,878.3350157103031,0.6983688911914584,0.6249490252958448,0.23665230870784323,0.4,675.4916053991286,675.8964686003137,0.025286789934416007,0.025049409089774956,20
q,beta_x_dim,50.0,,,256.0,,100,2.3553067147810628e+16,2.3553067147810628e+16,0.848764172135658,0.7915822220197924,0.16971422476257944,0.05,2.2956690167918636e+16,2.2956690167918636e+16,0.018418059023294357,0.023995875214048647,20
q,beta_x_dim,50.0,,,256.0,,500,3.005086273112776,2.909613080479796,0.7805404155603866,0.7297122327476555,0.16971422476257944,0.3,0.2583976139986725,0.2620078075547964,0.028810551768025015,0.025611542244039442,20
q,beta_x_dim,50.0,,,512.0,,100,0.909863581889541,0.8655707093379629,0.9403535786584303,0.8604783948920673,0.11945966216356811,0.0,0.21018360502068076,0.19859014559334603,0.011388564824470006,0.017175431641971318,20
q,beta_x_dim,50.0,,,512.0,,500,3.439888704259678,3.29479958071506,0.8744333172116441,0.8114083900005611,0.11945966216356811,0.4,0.6477327602848274,0.6528445309129208,0.024201150830618353,0.029446356058057833,20
