construction,sweep,beta,beta_max,sigma,dim,rho,T,max_err_mean,final_err_mean,greedy_agree_mean,select_agree_mean,max_cos_mean,diverged_mean,max_err_sem,final_err_sem,greedy_agree_sem,select_agree_sem,n
q,beta_x_dim,50.0,,,128.0,,100,,,0.6780729555691605,0.6966027847886554,0.2366523087078432,1.0,,,0.034358917963123674,0.04119436986571138,20
q,beta_x_dim,50.0,,,128.0,,500,,,0.6954039465436728,0.6923327503283342,0.2366523087078432,1.0,,,0.04094803369171246,0.043677409380130476,20
q,beta_x_dim,50.0,,,256.0,,100,,,0.6717462332815608,0.6982445264110712,0.1697142247625794,1.0,,,0.033272382736831724,0.03840528662240314,20
q,beta_x_dim,50.0,,,256.0,,500,,,0.6941914826818266,0.6926380381392268,0.1697142247625794,1.0,,,0.04081801146096344,0.043263237199033355,20
q,beta_x_dim,50.0,,,512.0,,100,,,0.670039369648769,0.6976436082522262,0.11945966216356807,1.0,,,0.03280462923052473,0.03976659891352875,20
q,beta_x_dim,50.0,,,512.0,,500,,,0.6938701055520721,0.6925343574249176,0.11945966216356807,1.0,,,0.04066420140102808,0.043568090872104885,20
q,beta_x_dim,50.0,,,1024.0,,100,,,0.6724796397481583,0.7033493519017322,0.09056164138314854,1.0,,,0.03029213418401315,0.039052144589848584,20
q,beta_x_dim,50.0,,,1024.0,,500,,,0.6943409628946996,0.6936424031069478,0.09056164138314854,1.0,,,0.04011264876794018,0.04340895852435057,20
q,beta_x_dim,50.0,,,2048.0,,100,,,0.6672176424467618,0.7012090334831139,0.06342080822861114,1.0,,,0.031381218620268395,0.03520911852538189,20
q,beta_x_dim,50.0,,,2048.0,,500,,,0.6933450886998401,0.6932371258852392,0.06342080822861114,1.0,,,0.039962503117393494,0.04240505771380931,20
q,beta_x_dim,50.0,,,4096.0,,100,1.426519835793662e+94,1.426519835793662e+94,0.6325241683968541,0.670451344334696,0.043835166987457354,0.85,5.46876779969463e+93,5.46876779969463e+93,0.027825059578740804,0.03841029061669518,20
q,beta_x_dim,50.0,,,4096.0,,500,,,0.6866444236623988,0.6876744037844176,0.043835166987457354,1.0,,,0.03846414334836224,0.04254182923598841,20
q,beta_x_dim,50.0,,,8192.0,,100,3.812209333504429e+104,3.812209333504429e+104,0.6786591497900737,0.7159784310153199,0.031054482512492553,0.3,3.187418314654102e+104,3.187418314654102e+104,0.02181503216164447,0.023429823650380134,20
q,beta_x_dim,50.0,,,8192.0,,500,,,0.6876706621445164,0.6953831124818074,0.031054482512492553,1.0,,,0.035116194551247995,0.03775718373930726,20
q,beta_x_dim,50.0,,,16384.0,,100,230.84650773365382,227.93851883597463,0.7632556671906723,0.7879963282546134,0.021380935793739144,0.0,70.75738262138127,69.16229028980854,0.02570541857020662,0.030411656025938264,20
q,beta_x_dim,50.0,,,16384.0,,500,,,0.6947994365078524,0.7081548190248883,0.021380935793739144,1.0,,,0.029668673087398546,0.03177514526363491,20
q,beta_x_dim,100.0,,,32.0,,100,,,0.6850182832778337,0.692816092856653,0.45181358479635786,1.0,,,0.03736929812596,0.04153184828801062,20
q,beta_x_dim,100.0,,,32.0,,500,,,0.6967344802551497,0.6916219874629717,0.45181358479635786,1.0,,,0.04152452882998343,0.04360718392955106,20
q,beta_x_dim,100.0,,,64.0,,100,,,0.6830297098915296,0.6992113652652415,0.3383318772022451,1.0,,,0.03533414127444755,0.041406737286467245,20
