family,condition,description,agent,final_return,final_return_std,pct_optimal,optimal,random,random_pct_optimal
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)","continuous_overwrite transformer, eps-greedy",99.6779655456543,11.034655619259429,65.34537977262451,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",eps-greedy Q,112.16822814941406,14.312117441784103,73.533558060921,152.54018859863282,105.35603561401368,69.06772345170546
eval,decorrelated,"Reward resampled from R (marginal preserved, link broken)",greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),continuous_overwrite transformer,94.30826873779297,12.23917763239556,61.825194792396,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),"continuous_overwrite transformer, eps-greedy",99.70619583129883,12.38419180674595,65.36388655821582,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),eps-greedy Q,106.87339248657227,14.236539400427596,70.0624494229386,152.54018859863282,105.35603561401368,69.06772345170546
eval,inverted,Reward flipped (1 - r),greedy Q,113.91711196899413,13.450035497937684,74.68006498191464,152.54018859863282,105.35603561401368,69.06772345170546
contrast,intact,True reward (control),continuous_overwrite transformer,77.45000114440919,27.35934043937022,38.72500057220459,200.0,59.49499740600586,29.74749870300293
contrast,intact,True reward (control),"continuous_overwrite transformer, eps-greedy",64.72000045776367,19.95543017354589,32.36000022888184,200.0,59.49499740600586,29.74749870300293
contrast,intact,True reward (control),eps-greedy Q,89.42000274658203,15.81229438420126,44.710001373291014,200.0,59.49499740600586,29.74749870300293
contrast,intact,True reward (control),greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,continuous_overwrite transformer,66.42999877929688,22.697645387710374,33.21499938964844,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,"continuous_overwrite transformer, eps-greedy",58.73499717712402,22.145598645450892,29.36749858856201,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,eps-greedy Q,56.929997253417966,6.639133219848316,28.464998626708983,200.0,59.49499740600586,29.74749870300293
contrast,zeroed,Reward always 0,greedy Q,56.929997253417966,6.639133219848316,28.464998626708983,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,continuous_overwrite transformer,68.71000061035156,24.312579414642496,34.35500030517578,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,"continuous_overwrite transformer, eps-greedy",57.49999771118164,21.642494230883354,28.74999885559082,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,eps-greedy Q,50.94499835968018,15.041535065754903,25.47249917984009,200.0,59.49499740600586,29.74749870300293
contrast,constant,Reward always 0.5,greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",continuous_overwrite transformer,67.47500076293946,28.809446396677913,33.73750038146973,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)","continuous_overwrite transformer, eps-greedy",59.87499885559082,22.256172441767124,29.93749942779541,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",eps-greedy Q,46.76499710083008,16.49310648336339,23.38249855041504,200.0,59.49499740600586,29.74749870300293
contrast,decorrelated,"Reward resampled from R (marginal preserved, link broken)",greedy Q,69.85000133514404,29.18835697688571,34.92500066757202,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),continuous_overwrite transformer,45.62499847412109,27.35026951533298,22.812499237060546,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),"continuous_overwrite transformer, eps-greedy",52.55999698638916,24.364491581504048,26.27999849319458,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),eps-greedy Q,28.714998054504395,8.748772699419693,14.357499027252198,200.0,59.49499740600586,29.74749870300293
contrast,inverted,Reward flipped (1 - r),greedy Q,27.574999237060545,16.25721717535676,13.787499618530273,200.0,59.49499740600586,29.74749870300293
