beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
50.0,10000.0,4,2,0.1,0.95,noisy_negative,1,4.794291119658567e-08,1.0,0.0
50.0,10000.0,4,8,0.2,0.9,clean,0,2.5853124974162256e-08,1.0,0.0
50.0,10000.0,4,2,0.2,0.9,clean,1,2.036277788164398e-06,1.0,0.0
50.0,10000.0,4,8,0.2,0.9,noisy_negative,0,4.856823414445266e-06,1.0,0.0
50.0,10000.0,4,2,0.2,0.9,noisy_negative,1,1.921022887430013e-06,1.0,0.0
50.0,10000.0,4,8,0.2,0.95,clean,0,3.198172837670654e-08,1.0,0.0
50.0,10000.0,4,2,0.2,0.95,clean,1,6.564156862509662e-08,1.0,0.0
50.0,10000.0,4,8,0.2,0.95,noisy_negative,0,2.201243387567331e-08,1.0,0.0
50.0,10000.0,4,2,0.2,0.95,noisy_negative,1,2.985866798255188e-08,1.0,0.0
50.0,10000.0,4,8,0.5,0.9,clean,0,2.726191095092645e-08,1.0,0.0
50.0,10000.0,4,2,0.5,0.9,clean,1,2.3802766868641356e-08,1.0,0.0
50.0,10000.0,4,8,0.5,0.9,noisy_negative,0,9.941955453340867e-09,1.0,0.0
50.0,10000.0,4,2,0.5,0.9,noisy_negative,1,1.0948188806203518e-05,1.0,0.0
50.0,10000.0,4,8,0.5,0.95,clean,0,3.9148575936565067e-08,1.0,0.0
50.0,10000.0,4,2,0.5,0.95,clean,1,5.6426008754328905e-08,1.0,0.0
50.0,10000.0,4,8,0.5,0.95,noisy_negative,0,1.0861767929526422e-08,1.0,0.0
50.0,10000.0,4,2,0.5,0.95,noisy_negative,1,1.2034073293420988e-08,1.0,0.0
50.0,100000.0,2,8,0.1,0.9,clean,0,5.5438886370495766e-08,1.0,0.0
50.0,100000.0,2,2,0.1,0.9,clean,1,9.887367635741384e-08,1.0,0.0
50.0,100000.0,2,8,0.1,0.9,noisy_negative,0,1.9543030360669178e-08,1.0,0.0
50.0,100000.0,2,2,0.1,0.9,noisy_negative,1,1.45713963672911e-08,1.0,0.0
50.0,100000.0,2,8,0.1,0.95,clean,0,6.310778766227543e-08,1.0,0.0
50.0,100000.0,2,2,0.1,0.95,clean,1,1.3942580157078055e-07,1.0,0.0
50.0,100000.0,2,8,0.1,0.95,noisy_negative,0,2.3175283470067143e-08,1.0,0.0
50.0,100000.0,2,2,0.1,0.95,noisy_negative,1,1.659041326540489e-08,1.0,0.0
50.0,100000.0,2,8,0.2,0.9,clean,0,3.1988974136254456e-08,1.0,0.0
50.0,100000.0,2,2,0.2,0.9,clean,1,5.294904692476621e-08,1.0,0.0
50.0,100000.0,2,8,0.2,0.9,noisy_negative,0,1.1328358695550378e-08,1.0,0.0
50.0,100000.0,2,2,0.2,0.9,noisy_negative,1,1.2109463543019672e-08,1.0,0.0
